Rank,Verdict,Title,Ask,Shipping,Total Cost,Condition,PG Low,PG High,Est Value,Spread,Strong Offer,Walkaway Max,Outbound Ship,Offers,Listed Age,Issues,Recent Sale 1,Recent Sale 2,Recent Sale 3,Listing URL,Model URL
25,WATCH,"2018 Fender American Original '60s Telecaster - Lake Placid Blue",1649,75,1724,Excellent,1252,1983,1618,-106,1486,1530,100,31,5 days ago,"","Very Good $1500","Excellent $1750","Very Good $1400",https://reverb.com/item/95449616-2018-fender-american-original-60s-telecaster-lake-placid-blue,https://reverb.com/p/fender-american-original-60s-telecaster
26,WATCH,"Squier Paranormal Offset Telecaster - Butterscotch",250,100,350,Good,271,372,322,-35,262,269,60,31,6 days ago,"","Very Good $185","Very Good $200","Excellent $349",https://reverb.com/item/95420856-squier-paranormal-offset-telecaster-butterscotch,https://reverb.com/p/squier-paranormal-offset-telecaster
27,WATCH,"2003 MIJ Gretsch G6119 Tennessee Rose - Deep Cherry Stain W/OHSC",1300,83,1383,Very Good,1002,1640,1321,-50,1202,1238,70,19,6 days ago,"","Excellent $1100","Very Good $1333","Excellent $1475",https://reverb.com/item/95416838-2003-mij-gretsch-g6119-tennessee-rose-deep-cherry-stain-w-ohsc,https://reverb.com/p/gretsch-g6119-tennessee-rose-2003-2006
28,WATCH,"Squier Stratocaster",186,34,220,Excellent,110,182,146,-84,142,146,60,27,,"","Excellent $120","Very Good $130","Excellent $175",https://reverb.com/item/94638651-squier-stratocaster,https://reverb.com/p/squier-bullet-stratocaster-with-tremolo
29,WATCH,"Ibanez RS-530Roadstar II Custom 1983 - 1984 - Cherry Sunburst",550,150,700,Very Good,560,889,725,49,584,601,60,101,2 years ago,"","Good $849.99","Excellent $725","Very Good $999",https://reverb.com/item/83032710-ibanez-rs-530roadstar-ii-custom-1983-1984-cherry-sunburst,https://reverb.com/p/ibanez-rs1000-roadstar-ii-custom
30,WATCH,"1993 Fender ST57-70 '57 Stratocaster Reissue - Certified MOJO Supreme Natural Relic - Made in Japan (FujiGen) w USA Vintage Reissue PU's - Pro Set-Up! w Perfect Frets/Action/Intonation",899.57,93,992.57,Good,717,1363,1040,47,843,868,70,23,5 days ago,"","Excellent $1000","Very Good $1000","Very Good $2996",https://reverb.com/item/95426019-1993-fender-st57-70-57-stratocaster-reissue-certified-mojo-supreme-natural-relic-made-in-japan-fujigen-w-usa-vintage-reissue-pu-s-pro-set-up-w-perfect-frets-action-intonation,https://reverb.com/p/fender-st-57-stratocaster-reissue-mij
31,WATCH,"2022 Ibanez AZES40-PRB Essentials Electric Guitar Mint Green 6lbs 13oz",225,51,276,Excellent,156,285,221,-42,193,198,60,13,14 days ago,"","Excellent $295","Excellent $285","Excellent $240",https://reverb.com/item/95144010-2022-ibanez-azes40-prb-essentials-electric-guitar-mint-green-6lbs-13oz,https://reverb.com/p/ibanez-azes40-essentials
32,WATCH,"Epiphone SG Standard with Laurel Fretboard 2020 - 2025 Cherry",350,42,392,Excellent,266,423,345,-31,300,309,60,18,8 days ago,"","Excellent $250","Mint $484.4","Excellent $450",https://reverb.com/item/95349292-epiphone-sg-standard-with-laurel-fretboard-2020-2025-cherry,https://reverb.com/p/epiphone-sg-standard-2020-present
33,WATCH,"Ibanez RG8 - White",300,40,340,Good,242,399,321,-19,252,259,60,12,3 days ago,"","Excellent $324","Excellent $100","Excellent $299.99",https://reverb.com/item/95507786-ibanez-rg8-white,https://reverb.com/p/ibanez-rg8-standard
34,WATCH,"Epiphone Les Paul Ultra III - 2014 - Midnight Sapphire",509,104,613,Mint,366,584,475,-138,503,518,60,23,5 months ago,"","Very Good $403.75","Excellent $410","Excellent $495",https://reverb.com/item/92750916-epiphone-les-paul-ultra-iii-2014-midnight-sapphire,https://reverb.com/p/epiphone-les-paul-ultra-iii
35,WATCH,"Used Squier Classic Vibe '60s Jazzmaster - 3-Color Sunburst w/Laurel FB",399.99,0,399.99,Mint,271,402,337,-38,307,316,60,773,,"","Mint $399.99","Excellent $325","Excellent $319.2",https://reverb.com/item/59853567-used-squier-classic-vibe-60s-jazzmaster-3-color-sunburst-w-laurel-fb,https://reverb.com/p/squier-classic-vibe-60s-jazzmaster
36,WATCH,"Schecter C-6 FR Deluxe 2015 - Present - Satin White",319,50,369,Excellent,245,381,313,-56,279,287,60,17,2 months ago,"","Good $279.99","Mint $359.2","Excellent $297",https://reverb.com/item/94517134-schecter-c-6-fr-deluxe-2015-present-satin-white,https://reverb.com/p/schecter-c-6-fr-deluxe
37,WATCH,"Fender Stratocaster 2006 - Electric blue",475,45,520,Excellent,363,567,465,-101,418,430,60,27,20 days ago,"","Very Good $450","Very Good $540","Excellent $350",https://reverb.com/item/94970569-fender-stratocaster-2006-electric-blue,https://reverb.com/p/fender-standard-stratocaster-2006-2017
38,WATCH,"Fender Rarities Series Flame Top Thinline Stratocaster HSS with Rosewood Neck 2019 - Violin Burst",1995,25,2020,Excellent,1413,2336,1875,-75,1758,1810,100,33,23 days ago,"","Excellent $2100","Mint $1950","Mint $1975",https://reverb.com/item/94911494-fender-rarities-series-flame-top-thinline-stratocaster-hss-with-rosewood-neck-2019-violin-burst,https://reverb.com/p/fender-rarities-series-flame-top-thinline-stratocaster
39,WATCH,"Squier Guitar - Electric Contemporary Stratocaster Special HT",299,50,349,Mint,197,301,249,-72,261,268,60,29,8 months ago,"","Excellent $275","Mint $300","Mint $250",https://reverb.com/item/91804831-squier-guitar-electric-contemporary-stratocaster-special-ht,https://reverb.com/p/squier-contemporary-stratocaster-special-ht
40,WATCH,"Squier Telecaster with Maple Fretboard",387,30,417,Excellent,,,,,323,332,60,32,8 months ago,"",,,,https://reverb.com/item/91679447-squier-telecaster-with-maple-fretboard,
41,WATCH,"ESP LTD EC-1000 Evertune BB 2021 - Present - Black Satin",875,85,960,Excellent,675,1005,840,-68,813,837,70,37,19 days ago,"","Very Good $800","Excellent $999","Mint $800",https://reverb.com/item/95002745-esp-ltd-ec-1000-evertune-bb-2021-present-black-satin,https://reverb.com/p/esp-ltd-ec-1000-evertune-bb
42,WATCH,"Gretsch G5700 Electromatic Lap Steel 2016 - Tobacco",249.99,70,319.99,Good,217,319,268,-52,234,241,60,35,,"","Mint $309.99","Excellent $299","Mint $309.99",https://reverb.com/item/94806801-gretsch-g5700-electromatic-lap-steel-2016-tobacco,https://reverb.com/p/gretsch-g5700-electromatic-lap-steel-guitar
43,WATCH,"Jackson JS Series JS22 SC Monarkh with Amaranth Fretboard 2019 - Present - Satin Black",150,105,255,Excellent,141,258,200,-52,174,179,60,31,4 months ago,"","Mint $299.99","Mint $259.99","Mint $280",https://reverb.com/item/93468581-jackson-js-series-js22-sc-monarkh-with-amaranth-fretboard-2019-present-satin-black,https://reverb.com/p/jackson-js-series-monarkh-sc-js22-with-amaranth-fingerboard
44,WATCH,"Fender Classic Series '70s Stratocaster with Maple Fretboard 1999 - 2018 - Natural",699,75,774,Very Good,515,824,670,-120,652,671,60,54,12 days ago,"","Very Good $630","Very Good $725","Excellent $675",https://reverb.com/item/95194486-fender-classic-series-70s-stratocaster-with-maple-fretboard-1999-2018-natural,https://reverb.com/p/fender-classic-series-70s-stratocaster-maple-natural
45,WATCH,"Ibanez QX52 - Black Flat",650,100,750,Excellent,507,774,641,-108,630,648,60,26,,"","Very Good $599","Excellent $642","Excellent $645",https://reverb.com/item/94761610-ibanez-qx52-black-flat,https://reverb.com/p/ibanez-qx52-quest-standard
46,WATCH,"Squier Bullet Stratocaster with Tremolo and Rosewood Fretboard 2010 - 2018 - Black",120,45,165,Good,110,182,146,-19,91,93,60,6,,"","Excellent $120","Very Good $130","Excellent $175",https://reverb.com/item/94688260-squier-bullet-stratocaster-with-tremolo-and-rosewood-fretboard-2010-2018-black,https://reverb.com/p/squier-bullet-stratocaster-with-tremolo
47,WATCH,"Epiphone Wildkat Antique Natural",350,47,397,Excellent,281,440,361,-37,305,314,60,34,2 months ago,"","Excellent $425","Very Good $350","Excellent $358",https://reverb.com/item/68865886-epiphone-wildkat-antique-natural,https://reverb.com/p/epiphone-wildkat-1999-2019
48,WATCH,"Gretsch Guitars G2420T Streamliner Single-Cutaway Hollowbody Electric Guitar With Bigsby - Walnut Stain",500,150,650,Excellent,290,446,368,-282,538,554,60,7,20 days ago,"","Very Good $399","Mint $389.99","Mint $389.99",https://reverb.com/item/94975449-gretsch-guitars-g2420t-streamliner-single-cutaway-hollowbody-electric-guitar-with-bigsby-walnut-stain,https://reverb.com/p/gretsch-g2420t-streamliner-hollow-body-with-bigsby
49,WATCH,"Epiphone Sheraton II 2004 Korean Made - Vintage Sunburst",650,42,692,Excellent,433,758,596,-71,576,593,60,36,6 months ago,"","Very Good $368","Very Good $849.97","Excellent $949",https://reverb.com/item/92285329-epiphone-sheraton-ii-2004-korean-made-vintage-sunburst,https://reverb.com/p/epiphone-sheraton-ii-1986-2007
50,WATCH,"Schecter Sun Valley Super Shredder FR 2017 - 2021 - Black Satin",485,46,531,Excellent,318,563,441,-90,428,440,60,29,2 months ago,"","Very Good $385","Very Good $522.5","Excellent $515",https://reverb.com/item/94323161-schecter-sun-valley-super-shredder-fr-2017-2021-black-satin,https://reverb.com/p/schecter-sun-valley-super-shredder-fr
51,PASS,"Gibson Les Paul Custom 1986 - 1989 - Ebony",4000,140,4140,Excellent,2921,5129,4025,-115,3708,3819,100,50,10 days ago,"Refret / major fret wear (medium)","Very Good $4999.99","Very Good $3999.99","Very Good $3800",https://reverb.com/item/95283783-gibson-les-paul-custom-1986-1989-ebony,https://reverb.com/p/gibson-les-paul-custom-1986-1989
52,PASS,"Epiphone Les Paul Classic Worn 2020 - 2025 - Worn Metallic Gold",330,41,371,Very Good,279,414,347,-3,281,289,60,8,6 days ago,"Headstock repair (high)","Very Good $350","Good $285","Very Good $459",https://reverb.com/item/95418142-epiphone-les-paul-classic-worn-2020-2025-worn-metallic-gold,https://reverb.com/p/epiphone-les-paul-classic-worn
53,PASS,"Gibson Les Paul Special 1990 - Heritage Cherry",799,81,880,Good,948,1817,1383,280,749,771,60,54,9 days ago,"Headstock repair (high)","Very Good $1487.5","Very Good $950","Good $1800",https://reverb.com/item/93355374-gibson-les-paul-special-1990-heritage-cherry,https://reverb.com/p/gibson-les-paul-special-1990-1997
54,PASS,"Fender Japan ST57（T）'57 Stratocaster 2-Tone Sunburst Electric Guitar Ref No 7526",670,150,820,Fair,717,1363,1040,220,694,714,60,15,,"Crack (high)","Excellent $1000","Very Good $1000","Very Good $2996",https://reverb.com/item/94602288-fender-japan-st57-t-57-stratocaster-2-tone-sunburst-electric-guitar-ref-no-7526,https://reverb.com/p/fender-st-57-stratocaster-reissue-mij
